,0,1,2,3,4
0,天山股份：区域市场需求有望提升 谨慎买入评级,中银国际,董馨谣 李攀 ,谨慎买入,2015-03-24
1,中牧股份：业绩符合预期 推荐评级,东莞证券,黄凡,推荐,2015-03-24
2,楚天科技：医疗机器人唯一投资品种 买入评级,中银国际,杨绍辉,买入,2015-03-24
3,天山股份：2015年区域供需关系有望改善 持有评级,广发证券,邹戈 谢璐 ,持有,2015-03-24
4,全通教育：巩固流量导入能力 买入评级,国海证券,李响,买入,2015-03-24
5,南京中北：看好公司平台价值及燃气业绩增长 强烈推荐评级,方正证券,梅韬 郭丽丽 ,强烈推荐,2015-03-24
6,长安汽车：福特加力 买入评级,中信建投,陈政,买入,2015-03-24
7,西陇化工：并购与电商战略稳步推进 买入评级,广发证券,王剑雨 郭敏 ,买入,2015-03-24
8,安控科技：营收稳定增长 买入评级,国信证券,程成 李亚军 ,买入,2015-03-24
9,苏交科：扎实拓展 买入评级,国金证券,孙鹏 贺国文 ,买入,2015-03-24
10,金地集团：跟投制度助力成长 谨慎买入评级,中银国际,袁豪 田世欣 ,谨慎买入,2015-03-24
11,世联行：坚定转型 买入评级,中信建投,苏雪晶,买入,2015-03-24
12,冠城大通：力争多元化业务协同发展 买入评级,广发证券,乐加栋 郭镇 ,买入,2015-03-24
13,均胜电子：车联网龙头正式起航 买入评级,安信证券,林帆,买入,2015-03-24
14,中牧股份：央企改革提振估值 买入评级,齐鲁证券,谢刚 张俊宇 ,买入,2015-03-24
15,易华录：政务前移的线下运营模式 买入评级,国海证券,李响 孔令峰 田庚 ,买入,2015-03-24
16,同仁堂：符合预期 买入评级,群益证券,闫永正,买入,2015-03-24
17,海螺水泥：关注国企改革推进 买入评级,申万宏源,王丝语,买入,2015-03-24
18,三维通信：行业信息化转型确保长期成长 推荐评级,长江证券,胡路,推荐,2015-03-24
19,水晶光电：拓延并购添彩 增持评级,国海证券,王凌涛,增持,2015-03-24
20,雅戈尔：牛市品种值得期待 买入评级,申万宏源,王立平,买入,2015-03-24
21,开能环保：原能细胞业务实质性进展 买入评级,中原证券,吴剑雄,买入,2015-03-24
22,大亚科技：业绩存在巨大向上弹性 买入评级,申万宏源,周海晨 屠亦婷 ,买入,2015-03-24
23,南都电源：略低预期 增持评级,东北证券,潘喜峰,增持,2015-03-24
24,日照港：2015关注瓦日铁路影响与资产注入 谨慎推荐评级,长江证券,韩轶超,谨慎推荐,2015-03-24
25,三安光电：进军半导体 买入评级,群益证券,朱吉翔,买入,2015-03-24
26,博雅生物：外延扩张提速 推荐评级,国联证券,刘生平,推荐,2015-03-24
27,中信证券：全业务链启航 买入评级,华泰证券,沈娟 陈福 ,买入,2015-03-24
28,汤臣倍健：优秀团队+到位激励+深厚资源成就未来的大健康管理专家 买入评级,齐鲁证券,黄文婧 胡彦超 ,买入,2015-03-24
29,金天地：国内老牌影视文化公司,广证恒生,袁季 徐舜 ,无,2015-03-24
30,中信证券：业绩高增长有望延续 买入评级,安信证券,衡昆,买入,2015-03-24
31,新宙邦：电解液仍是亮点 推荐评级,国联证券,皮斌,推荐,2015-03-24
32,永太科技：探索新领域开辟更广阔空间 买入评级,安信证券,王席鑫 孙琦祥 袁善宸 ,买入,2015-03-24
33,世联行：领先的房地产深服务提供商 买入评级,广发证券,乐加栋 郭镇 ,买入,2015-03-24
34,阳光电源：能源互联网重要受益标的 买入评级,申万宏源,徐超 王静 ,买入,2015-03-24
35,立思辰：发展趋势持续向好 买入评级,齐鲁证券,李振亚,买入,2015-03-24
36,常山药业：新产品及血透是未来亮点 推荐评级,东兴证券,郝力芳,推荐,2015-03-24
37,丽江旅游：估值具有吸引力 增持评级,华泰证券,刘洋 薛蓓蓓 ,增持,2015-03-24
38,易华录：300亿市值可期 买入评级,华泰证券,马仁敏 程艳 ,买入,2015-03-24
39,中牧股份：其他业务改善 买入评级,东北证券,郭伟明,买入,2015-03-24
40,雅戈尔：牛市品种值得期待 买入评级,申万宏源,王立平,买入,2015-03-24
41,博雅生物：外延扩张提速 推荐评级,国联证券,刘生平,推荐,2015-03-24
42,丽江旅游：估值具有吸引力 增持评级,华泰证券,刘洋 薛蓓蓓 ,增持,2015-03-24
43,新宙邦：电解液仍是亮点 推荐评级,国联证券,皮斌,推荐,2015-03-24
44,中牧股份：央企改革提振估值 买入评级,齐鲁证券,谢刚 张俊宇 ,买入,2015-03-24
45,开能环保：原能细胞业务实质性进展 买入评级,中原证券,吴剑雄,买入,2015-03-24
46,中牧股份：其他业务改善 买入评级,东北证券,郭伟明,买入,2015-03-24
47,黄山旅游：上调盈利预测 买入评级,瑞银证券,陈欣,买入,2015-03-24
48,中信证券：扣非归母综合收益增长152% 买入评级,广发证券,张黎 曹恒乾 李聪 ,买入,2015-03-24
49,全聚德：关注改革进程 增持评级,华泰证券,刘洋 薛蓓蓓 ,增持,2015-03-24
50,易华录：政务前移的线下运营模式 买入评级,国海证券,李响 孔令峰 田庚 ,买入,2015-03-24
51,日照港：2015关注瓦日铁路影响与资产注入 谨慎推荐评级,长江证券,韩轶超,谨慎推荐,2015-03-24
52,东方国信：多元化布局完善 买入评级,安信证券,胡又文,买入,2015-03-24
53,金天地：国内老牌影视文化公司,广证恒生,袁季 徐舜 ,无,2015-03-24
54,西陇化工：未来发展战略清晰 强烈推荐评级,方正证券,周铮 程磊 ,强烈推荐,2015-03-24
55,丽江旅游：期待新项目落地 增持评级,国海证券,周玉华,增持,2015-03-24
56,新兴铸管：转型升级之路更进一步 推荐评级,长江证券,刘元瑞 王鹤涛 ,推荐,2015-03-24
57,中国神华：公司业务多元化优势凸显 买入评级,群益证券,高观朋,买入,2015-03-24
58,辉丰股份：农资电商推进良好 增持评级,华泰证券,刘曦,增持,2015-03-24
59,长电科技：持续受益IC国家战略 推荐评级,长江证券,高小强,推荐,2015-03-24
60,宝信软件：钢铁电商大数据与工业4.0比翼齐飞 推荐评级,银河证券,沈海兵 吴砚靖 ,推荐,2015-03-24
61,丽江旅游：2015年看酒店业务恢复 买入评级,群益证券,张露,买入,2015-03-24
62,均胜电子：智能驾驶系统日益完善 买入评级,光大证券,王浩,买入,2015-03-24
63,上海家化：发力电商打通线上线下渠道 买入评级,山西证券,罗胤,买入,2015-03-24
64,春秋航空：标杆型低成本标的 推荐评级,长江证券,韩轶超,推荐,2015-03-24
65,益佰制药：服务大健康 买入评级,广发证券,张其立,买入,2015-03-24
66,丽江旅游：资源布局是长期看点 增持评级,东北证券,梁莉,增持,2015-03-24
67,青岛双星：汽车后市场的滴滴养车 买入评级,安信证券,王席鑫 孙琦祥 袁善宸 ,买入,2015-03-24
68,腾邦国际：互联网+布局提振市值空间 买入评级,中银国际,旷实,买入,2015-03-24
69,中信证券：大经纪+直投+REITs驱动业绩高增长 买入评级,瑞银证券,潘洪文 崔晓雁 ,买入,2015-03-24
70,碧水源：坚定看好公司前景 强烈推荐评级,长城证券,杨超,强烈推荐,2015-03-24
71,常宝股份：期待转型发展 买入评级,国金证券,杨件,买入,2015-03-24
72,赛轮金宇：双反税率大幅降低 推荐评级,长城证券,杨超,推荐,2015-03-24
73,海特高新：国家信息安全制高点 买入评级,安信证券,王书伟 邹润芳 ,买入,2015-03-24
74,鹏博士：OTT战略又下一城 买入评级,安信证券,柳士威,买入,2015-03-24
75,立思辰：全力打造职业教育第一平台 买入评级,安信证券,胡又文,买入,2015-03-24
76,三维通信：外延并购可期 买入评级,中信建投,王大鹏 武超则 ,买入,2015-03-24
77,春秋航空：互联网转型发展可期 增持评级,申万宏源,谢平 吴一凡 ,增持,2015-03-24
78,世联行：小贷金融持续超预期 强烈推荐评级,平安证券,王琳 杨侃 ,强烈推荐,2015-03-24
79,西王食品：一季度大幅预增确立全年高增长 买入评级,齐鲁证券,胡彦超 黄文婧 ,买入,2015-03-24
80,东方国信：大数据龙头腾飞在即 推荐评级,长江证券,马先文,推荐,2015-03-24
81,华峰氨纶：两轮驱动 推荐评级,银河证券,裘孝锋 王强 胡昂 ,推荐,2015-03-24
82,汇川技术：业绩符合预期 买入评级,高华证券,金戈,买入,2015-03-24
83,上海石化：2014年亏损符合预期 持有评级,中银国际,刘志成,持有,2015-03-24
84,海螺水泥：长期发展值得期待 买入评级,国信证券,黄道立 刘宏 ,买入,2015-03-24
85,大亚科技：资产置换突出主业 增持评级,中信建投,田东红 王愫 ,增持,2015-03-24
86,金地集团：一体和两翼均稳定增长 买入评级,中原证券,吴剑雄,买入,2015-03-24
87,同仁堂：期待制度突破 谨慎增持评级,广发证券,贺菊颖,谨慎增持,2015-03-24
88,三安光电：加码半导体带来新动力 买入评级,广发证券,许兴军,买入,2015-03-24
