,0,1,2,3,4
0,日常消费品：关注长期成长与短期价涨公司,东兴证券,王昕,看好,2012-03-09
1,日常消费品：猪价合理下跌往往更有利于饲料企业盈利,天相投顾,仇彦英,增持,2012-03-09
2,钢铁：下游需求逐步启动 钢价将震荡上行,广发证券,冯刚勇,持有,2012-03-09
3,钢铁：钢价总体平稳 钢铁股小涨,广发证券,冯刚勇,持有,2012-03-09
4,煤炭石油：动力煤价格指数连跌17周,中信建投,李俊松,增持,2012-03-09
5,商业零售：春寒料峭 零售数据平平或将倒逼政策出台,光大证券,唐佳睿,增持,2012-03-09
6,信息科技：选择低估值是主要配置思路,平安证券,邵青,增持,2012-03-09
7,金融：营运利润 一个新视角,安信证券,杨建海,领先大市,2012-03-09
8,汽车：对新能源车船免征车船税 纯电驱动使得锂电池板块受益,华安证券,--,无,2012-03-09
9,化工：油价受抑制 关注天胶价跌带来的投资机会,东兴证券,杨若木,看好,2012-03-09
10,电气设备：招标总量高位运行 集中器采集器增幅明显,平安证券,张海 周紫光 ,增持,2012-03-09
11,媒体：教育经费4%目标终实现 利好出版发行,德邦证券,张帆,推荐,2012-03-09
12,信息科技：鹏博士 万事俱备 东风已来,安信证券,侯利,同步大市,2012-03-09
13,信息科技：美国本地电信运营商的发展对中国的启示－鹏博士 万事俱备 东风已来,安信证券,侯利,同步大市,2012-03-09
14,地产：全国房地产市场月度追踪2012年1－2月,高华证券,王逸 孙贤兵 ,无,2012-03-09
15,公用事业政策因素弱化 看好相关环保板块,,长江证券,--,2012-03-08
16,钢铁：钢价震荡盘整 钢铁股小涨,广发证券,冯刚勇,持有,2012-03-08
17,电气设备：一次设备价格稳定 智能站继续推进－国家电网公司2012年第一次集中招标分析,安信证券,黄守宏,领先大市,2012-03-08
18,造纸印刷包装：商务部部长提出家具以旧换新或在全国范围实行点评,中信金通,高毓��,无,2012-03-08
19,造纸印刷包装：群雄逐鹿 得规模者得天下,国金证券,万友林,增持,2012-03-08
20,汽车：电动汽车十二五规划 明晰行业发展路线,华宝证券,王广举,无,2012-03-08
21,金融：市场自我巩固弹性与增长为主题,东兴证券,王明德,看好,2012-03-08
22,金融：因流动性／不良贷款改善而保持积极看法 上调盈利预测／目标价,高华证券,马宁,无,2012-03-08
23,电气设备：行业性投资机会依次为 智能配电核电铁路电气,瑞银证券,牟其峥,无,2012-03-08
24,地产：风险回报趋于上行 上调目标价格,高华证券,孙贤兵 李薇 王逸 ,无,2012-03-08
