,0,1,2,3,4
0,劲胜股份：全年业绩看好 推荐评级,长江证券,陈志坚,推荐,2013-04-15
1,开能环保：长期增长值得期待 谨慎推荐评级,长江证券,陈志坚,谨慎推荐,2013-04-15
2,中金岭南：国内外矿山扩产有望提升公司盈利能力 增持评级,万联证券,李伟峰,增持,2013-04-15
3,碧水源：一季度增速略微放缓不改公司成长趋势 谨慎推荐评级,长江证券,邓莹,谨慎推荐,2013-04-15
4,蓝色光标：介入央视与影院广告资源运营 买入评级,国金证券,王铮,买入,2013-04-15
5,宁波港：增持提振信心 谨慎推荐评级,民生证券,孙洪湛,无,2013-04-15
6,华胜天成：综合毛利率有望提高 买入评级,山西证券,高飞,买入,2013-04-15
7,世茂股份：1季度销售强劲 谨慎买入评级,中银国际,田世欣,无,2013-04-15
8,华侨城A：全国扩张再下一城 强烈推荐评级,中投证券,张镭,强烈推荐,2013-04-15
9,回天胶业：背板膜进入快速增长 增持评级,中信建投,胡�� 梁斌 ,增持,2013-04-15
10,日海通讯：无线及工程业务接棒驱动增长 谨慎推荐评级,东莞证券,郑磊,谨慎推荐,2013-04-15
11,东方金钰：大股东注资彰显信心 推荐评级,渤海证券,贾丽杰,买入,2013-04-15
12,粤电力A：全年业绩较快增长 推荐评级,长江证券,葛军,推荐,2013-04-14
13,长源电力：基本面风险因素正逐渐解除 推荐评级,长江证券,葛军,推荐,2013-04-14
14,精功科技：内在增长潜力不减 增持评级,宏源证券,王静 赵曦 ,增持,2013-04-14
15,南京中商：期间费用率变化较大为主因 中性评级,光大证券,唐佳睿,无,2013-04-14
16,汤臣倍健：看好长期价值 买入评级,宏源证券,苏青青,买入,2013-04-14
17,南京中商：1季度业绩爆发 买入评级,宏源证券,陈炫如,买入,2013-04-14
18,尔康制药：整顿提高年有望实现平稳增长 增持评级,齐鲁证券,胡德军,推荐,2013-04-14
19,南宁百货：外延扩张促进业绩稳定增长 增持评级,宏源证券,王凤华 李坤阳 ,增持,2013-04-14
