,0,1,2,3,4
0,医疗保健：快速增长仍是主基调,国海证券,胡博新,推荐,2018-07-29
1,电气设备：配额制值得期待 荐5股,长城证券,杨超,推荐,2018-07-29
2,电气设备：锋芒渐露 荐5股,安信证券,邓永康,领先大市,2018-07-29
3,有色金属：为何不把握骤雨初歇的阳光 荐4股,长江证券,葛军,中性,2018-07-29
4,日常消费品：禽链价格震荡 关注生猪底部机会,川财证券,杨欧雯,无,2018-07-29
5,汽车：试点启动 动力电池回收体系加速建成,川财证券,孙灿,无,2018-07-29
6,半导体、电子设备：价格企稳出货乐观 荐1股,国联证券,曹亮,优异,2018-07-29
7,金融：龙头券商评级整体稳定 荐7股,广发证券,商田,买入,2018-07-29
8,半导体、电子设备：电子股持仓比例有所下滑 基金偏好配置细分领域龙头,银河证券,傅楚雄,推荐,2018-07-29
9,金融：券商分类评级公布 荐4股,银河证券,武平平,无,2018-07-29
10,有色金属：锂钴需求有望回暖 荐14股,广发证券,巨国贤,买入,2018-07-29
11,医疗保健：CFDA批准首个NGS肿瘤多基因检测试剂盒 肿瘤基因检测迎来NGS新时代,太平洋证券,杜佐远,看好,2018-07-29
12,金融：货币偏松 荐4股,中泰证券,戴志锋,增持,2018-07-29
13,建材：关注政策微调的积极信号 荐6股,长江证券,毕春晖,中性,2018-07-29
14,地产：地产股迎估值修复 荐3股,川财证券,孙灿,无,2018-07-29
15,电气设备：内蒙古新开工风电项目陆续并网,川财证券,孙灿,无,2018-07-29
16,化工：原油价格平稳 化工品价格稳中有涨 ,广发证券,郭敏,买入,2018-07-29
17,工业综合：美欲主导全球政经框架改变 增配业绩优异的整机厂与低估值龙头,方正证券,段小虎,推荐,2018-07-29
18,化工：三大炼化项目的对比分析 荐6股,方正证券,李永磊,推荐,2018-07-29
19,日常消费品：乐观预期中秋旺季 荐5股,方正证券,薛玉虎,推荐,2018-07-29
20,地产：北京市服务保障人才政策落地 荐12股,东吴证券,齐东,增持,2018-07-29
21,半导体、电子设备：被动元器件持续景气 荐4股,东吴证券,谢恒,增持,2018-07-29
22,信息科技：勿忘8月风险 荐5股,国盛证券,丁琼,增持,2018-07-29
23,半导体、电子设备：重视功率半导体板块 荐5股,方正证券,段迎晟,推荐,2018-07-29
24,公用事业：政策红利再降临 农村治污攻坚战正式开启,安信证券,诸海滨,无,2018-07-29
25,公用事业：环保列入重点支出方向 荐3股,广发证券,郭鹏,买入,2018-07-29
26,媒体：《西虹市首富》接棒暑期档 荐4股,广发证券,旷实,买入,2018-07-29
27,医疗保健：疫苗事件影响深远 严惩市场造假行为,川财证券,杨欧雯,无,2018-07-29
28,医疗保健：8月关注医药股估值切换带来的超额收益机会 荐2股,东吴证券,全铭,无,2018-07-29
29,有色金属：继续看好钴铝铜金 荐20股,安信证券,齐丁,领先大市,2018-07-29
30,机械制造：工程机械景气望延续 荐9股,方正证券,吕娟,推荐,2018-07-29
31,商业零售：消费趋势推动行业加速调整 荐3股,国盛证券,丁琼,增持,2018-07-29
32,机械制造：适当配置中报业绩预期较好 荐13股,川财证券,孙灿,无,2018-07-29
