,0,1,2,3,4
0,金融：寻找穿越周期的优秀银行 荐10股,申万宏源,马鲲鹏,无,2019-12-30
1,机械制造：11月挖掘机销量超预期 工业机器人景气度持续改善,银河证券,刘兰程,推荐,2019-12-30
2,金融：中外对比角度看我国银行业转型路径 荐7股,银河证券,武平平,推荐,2019-12-30
3,公用事业：全国市场化改革有望温和推进 荐5股,银河证券,周然,谨慎推荐,2019-12-30
4,商业零售：库存继续去化和需求韧性支撑钢价 荐3股,银河证券,华立,推荐,2019-12-30
5,化工：年底美油库存下降 油价上涨,川财证券,白竣天,无,2019-12-29
6,煤炭石油：焦化去产能加码 焦炭第三轮涨价逐步落实,川财证券,陈雳,无,2019-12-29
7,地产：城镇落户政策放松 荐6股,川财证券,陈雳,无,2019-12-29
8,日常消费品：贵州茅台明年计划量3.45万吨 汾酒青花将放量,川财证券,欧阳宇剑,无,2019-12-29
9,电气设备：看好新能车产业链龙头 荐4股,财通证券,龚斯闻,增持,2019-12-29
10,钢铁：螺纹钢产量回落 关注冬储进展,川财证券,陈雳,无,2019-12-29
11,地产：存量贷款利率切换LPR及现金管理类理财新规出台 新修《证券法》获通过,申万宏源,马鲲鹏,无,2019-12-29
12,公用事业：市场电规模扩大向下游让利 荐21股,申万宏源,刘晓宁,看好,2019-12-29
13,建材：东方风来满眼春,申万宏源,李峙屹,无,2019-12-29
14,地产：政策纠偏终有时 寻找逆周期龙头,申万宏源,曹一凡,无,2019-12-29
15,商业零售：各渠道龙头企业加速扩张备战春节 ,银河证券,李昂,推荐,2019-12-29
16,汽车：关注预期好转带来的估值修复行情 荐7股,财富证券,李文瀚,同步大市,2019-12-28
17,地产：存量贷款换基准 荐6股,川财证券,陈雳,无,2019-12-28
18,金融：LPR预期下行背景下 荐5股,长江证券,王一川,看好,2019-12-28
19,商业零售：飞天茅台零售价月环比上涨8.16％,东莞证券,魏红梅,推荐,2019-12-27
20,机械制造：整体单晶供应链持平 多晶价格续跌,东莞证券,黄秀瑜,谨慎推荐,2019-12-27
21,信息科技：年底5G套餐用户将达300万,东莞证券,魏红梅,推荐,2019-12-27
22,化工：棕榈油及生物素再创新高 荐10股,西南证券,杨林,强于大市,2019-12-27
23,建材：水泥板块估值仍有较大提升空间 荐6股,国信证券,黄道立,无,2019-12-27
24,金融：银保监会要求村镇银行严格坚守县域和专注主业,东莞证券,许建锋,谨慎推荐,2019-12-27
25,汽车：汽车汽配业日报 荐8股,国信证券,梁超,中性,2019-12-27
26,家用电器：竣工周期有望带动需求持续向好 荐5股,广发证券,曾婵,持有,2019-12-27
27,电气设备：风电平价时代 荐6股,国信证券,方重寅,无,2019-12-27
28,化工：原材料供应充分 行业迎来景气拐点,国信证券,龚诚,无,2019-12-27
29,教育行业：拨云见日 荐6股,国盛证券,鞠兴海,增持,2019-12-27
30,建材：行稳致远 进而有为,国信证券,黄道立,无,2019-12-27
31,信息科技：云计算拐点已至 荐3股,万联证券,王思敏,强于大市,2019-12-27
32,公用事业：FCFE高估价值 复合增长年份对估值更重要,长江证券,凌润东,看好,2019-12-27
33,地产：把握岁末估值修复及切换行情 荐3股,银河证券,潘玮,推荐,2019-12-27
34,交通运输：品质出行 数智物流 ,银河证券,刘兰程,无,2019-12-27
35,信息科技：推荐关注政策+情绪双加持子领域 荐14股,长城证券,周伟佳,推荐,2019-12-27
36,金融：经济金融数据超预期 荐4股,银河证券,武平平,推荐,2019-12-27
37,日常消费品：如何看待美国农产品进口,长江证券,陈佳,看好,2019-12-27
38,信息科技：5G主设备首标启动 荐4股,长江证券,于海宁,看好,2019-12-27
39,造纸印刷包装：拨云见日 荐10股,长江证券,鄢鹏,看好,2019-12-27
40,信息科技：5G主设备首标启动 荐4股,长江证券,于海宁,看好,2019-12-27
41,造纸印刷包装：拨云见日 荐10股,长江证券,鄢鹏,看好,2019-12-27
42,造纸印刷包装：关注竞争格局 把握景气向上,申万宏源,周海晨,无,2019-12-26
43,旅游酒店：游乐世界 这边风景独好,万联证券,陈雯,强于大市,2019-12-26
44,商业零售：城镇化继续推进零售终端下沉 荐4股,新时代证券,陈文倩,无,2019-12-26
45,半导体、电子设备：LCD电视面板短期供需改善 内资厂话语权逐步提升,平安证券,刘舜逢,中性,2019-12-26
46,汽车：丰田HEV 屡败屡战新能源,东兴证券,陆洲,看好,2019-12-26
47,汽车：销量环比恢复 荐3股,广发证券,陈子坤,买入,2019-12-26
48,信息科技：博通拟出售无线芯片业务,川财证券,陈雳,无,2019-12-26
49,商业零售：狂潮褪去 本值归来,国盛证券,丁婷婷,无,2019-12-26
50,医疗保健：政策依旧 危机并存,长城证券,赵浩然,推荐,2019-12-26
51,金融：大国重器 荐3股,新时代证券,郑嘉伟,无,2019-12-26
52,媒体：5G新周期 新格局 ,长江证券,王傲野,看好,2019-12-26
53,机械制造：周期的归周期 荐8股,长江证券,赵智勇,看好,2019-12-26
54,建材：总量降速提质 荐7股,长江证券,毕春晖,看好,2019-12-26
55,公用事业：新起点 荐5股,长江证券,张韦华,看好,2019-12-26
56,汽车：11月乘用车环比小幅回升 荐5股,银河证券,李泽晗,推荐,2019-12-26
57,家用电器：龙头值得拥抱 荐2股,山西证券,石晋,看好,2019-12-25
58,化工：拨云见日 荐8股,长江证券,叶如祯,看好,2019-12-25
59,信息科技：VIVOX30系列正式发售,川财证券,陈雳,无,2019-12-24
60,商业零售：从南宁百货被举牌看百货板块投资机会 荐11股,长江证券,李锦,看好,2019-12-24
61,交通运输：赛道为矛 格局为盾,长江证券,韩轶超,中性,2019-12-24
62,汽车：上汽广汽强强联手 抱团应对行业变革,东兴证券,陆洲,看好,2019-12-24
63,医疗保健：药物研发史波澜壮阔 荐6股,国信证券,陈益凌,无,2019-12-24
64,信息科技：2020年全国工业和信息化工作会议召开,川财证券,陈雳,无,2019-12-23
65,化工：化工品价格小幅上涨 荐8股,安信证券,张汪强,领先大市,2019-12-23
66,医疗保健：板块短期偏谨慎 集采有望下周发文,川财证券,周豫,无,2019-12-22
67,日常消费品：五粮液收入破500亿元 各家酒企春节打款政策颁布,川财证券,欧阳宇剑,无,2019-12-22
68,电气设备：静待海内外市场双开花 荐4股,财通证券,龚斯闻,增持,2019-12-22
69,化工：原油底部逐渐夯实 荐4股,长城证券,黄寅斌,推荐,2019-12-21
70,教育行业：棋至中局 长期掘金素质教育,广证恒生,黄莞,无,2019-12-20
71,地产：测算竣工复苏高度与持续性 挖掘全产业链投资机遇,广发证券,盛旭,无,2019-12-20
72,电气设备：工控已见曙光 荐7股,财富证券,杨甫,同步大市,2019-12-20
73,化工：政策铺路 产业勃发,广证恒生,司伟,无,2019-12-19
74,地产：基本面延续下行趋势 建13股,广发证券,乐加栋,买入,2019-12-19
75,商业零售：物美为例 探寻零售企业整合路径,长江证券,李锦,看好,2019-12-18
76,公用事业：用电增速略有回落需求端静候复苏 荐5股,银河证券,周然,谨慎推荐,2019-12-18
77,地产：新开工和施工如期回落 荐3股,银河证券,潘玮,推荐,2019-12-17
78,信息科技：中国北斗 拥抱全球梦,长江证券,于海宁,看好,2019-12-17
79,地产：房地产支柱产业功不可没 荐3股,国都证券,王树宝,无,2019-12-17
80,地产：房地产支柱产业功不可没 荐3股,国都证券,王树宝,无,2019-12-17
81,信息科技：5G手机明年市场份额冲18%,莫尼塔,张真桢,无,2019-12-16
82,钢铁：钢价仍然维持震荡偏弱 荐1股,申万宏源,姚洋,中性,2019-12-16
83,交通运输：快递通达系继续分化 顺丰ROE迎来拐点,申万宏源,游道柱,无,2019-12-16
84,化工：贸易协议改善需求预期 荐17股,申万宏源,宋涛,看好,2019-12-16
85,化工：天然气供需变化及对石化行业的影响 荐11股,申万宏源,谢建斌,看好,2019-12-16
86,商业零售：永辉与中百合作落定 荐2股,长江证券,李锦,看好,2019-12-16
