,0,1,2,3,4
0,东珠景观：区域深耕成效显著 买入评级,安信证券,苏多永,买入,2017-12-10
1,振华重工：向一站式全生命周期港机解决方案提供商迈进 买入评级,东吴证券,陈显帆,买入,2017-12-10
2,恒瑞医药：创新药产品线的新星 买入评级,中泰证券,江琦,买入,2017-12-10
3,恺英网络：《全民奇迹》续约 买入评级,中泰证券,康雅雯,买入,2017-12-10
4,海源机械：汽车轻量化进入收获期 增持评级,东吴证券,陈显帆,增持,2017-12-10
5,海源机械：锁定未来成长 买入评级,西南证券,高翔,买入,2017-12-10
6,宝信软件：股权激励彰显未来信心 强烈推荐评级,方正证券,安永平,强烈推荐,2017-12-10
7,隆平高科：外延并购稳步推进 推荐评级,财富证券,刘雪晴,推荐,2017-12-10
8,上海机电：公司有可能成为A股智能制造龙头 强烈推荐评级,方正证券,吕娟,强烈推荐,2017-12-10
9,复星医药：医疗服务布局再下一城 买入评级,中泰证券,江琦,买入,2017-12-10
10,用友网络：省级合作模式有望在全国快速复制推广 买入评级,东吴证券,郝彪,买入,2017-12-10
11,埃斯顿：进军军工自动化 推荐评级,方正证券,吕娟,推荐,2017-12-10
12,太极集团：看好公司发展前景 买入评级,西南证券,朱国广,买入,2017-12-10
13,安琪酵母：业绩有望延续高增长 强烈推荐评级,方正证券,薛玉虎,强烈推荐,2017-12-10
14,中金环境：加快资产重组进程 强烈推荐评级,方正证券,郭丽丽,强烈推荐,2017-12-10
15,华海药业：缬沙坦转报进展顺利 强烈推荐评级,东兴证券,张金洋,强烈推荐,2017-12-10
16,新湖中宝：厚积薄发 买入评级,广发证券,乐加栋,买入,2017-12-09
17,璞泰来：巨型航母扬帆起航 推荐评级,东兴证券,杨若木,推荐,2017-12-09
18,中材科技：具备全球竞争力的风电叶片龙头 买入评级,申万宏源,韩启明,买入,2017-12-08
19,回天新材：助公司拓展海外市场 推荐评级,长城证券,杨超,推荐,2017-12-08
20,豫园股份：豫园快乐起航 增持评级,申万宏源,王俊杰,增持,2017-12-08
21,南极电商：打造南极电商生态圈 买入评级,华金证券,王冯,买入,2017-12-08
22,大亚圣象：龙头蓄势再腾飞 买入评级,国海证券,谭倩,买入,2017-12-08
23,盐湖股份：盐湖提锂项目有望突破 推荐评级,东兴证券,刘宇卓,推荐,2017-12-08
24,京蓝科技：增添业绩确定性 买入评级,中信建投,李俊松,买入,2017-12-08
25,仙琚制药：整合原料药板块 买入评级,中泰证券,江琦,买入,2017-12-08
26,宝钛股份：技术储备丰厚 买入评级,东北证券,刘立喜,买入,2017-12-08
27,新纶科技：铝塑膜下游需求旺盛 买入评级,国海证券,代鹏举,买入,2017-12-08
28,安琪酵母：受益成本下降 买入评级,国海证券,余春生,买入,2017-12-08
29,安正时尚：多品牌步入丰收期 强烈推荐评级,长城证券,黄淑妍,强烈推荐,2017-12-08
30,信邦制药：医药全产业链布局良好 买入评级,东吴证券,全铭,买入,2017-12-08
31,拓维信息：新成长空间值得期待 买入评级,中信建投,武超则,买入,2017-12-08
32,四维图新：而不止于地图的核心产业中国优势 增持评级,申万宏源,刘洋,增持,2017-12-08
33,新钢股份：供需持续改善 买入评级,国海证券,代鹏举,买入,2017-12-08
34,通威股份：公司具备长期投资价值 买入评级,中信建投,徐伟,买入,2017-12-08
