,0,1,2,3,4
0,医疗保健：关注真正新兴龙头 荐7股,银河证券,李平祝,无,2015-11-01
1,金融：继续看好供应链金融 荐6股,平安证券,缴文超 陈雯 ,无,2015-11-01
2,医疗保健：全面放开二胎政策落地,中投证券,张镭,看好,2015-11-01
3,钢铁：价格略有反弹但预计持续动力不足 荐6股,长江证券,刘元瑞 王鹤涛 ,中性,2015-11-01
4,工业综合：军队改革推进预期升温 荐14股,方正证券,韩振国,推荐,2015-11-01
5,机械制造：持续关注智能制造板块的投资机会 荐4股,渤海证券,张敬华,无,2015-11-01
6,服装纺织：主营增速平稳 荐5股,长江证券,雷玉,看好,2015-11-01
7,建材：地产投资增速放缓 荐11股,中投证券,李凡,中性,2015-11-01
8,信息科技：重点关注信息安全与教育领域投资机会 荐7股,华泰证券,高宏博 郭雅丽 ,中性,2015-11-01
9,有色金属：锂价加速上涨 拥优质矿者得天下,国金证券,姚遥 张帅 ,增持,2015-11-01
10,造纸印刷包装：二胎政策仅为短期催化 荐8股,长江证券,徐春,看好,2015-11-01
11,公用事业：最严环境保护制度推行 荐8股,东吴证券,袁理,无,2015-11-01
12,医疗保健：二胎政策增一类疫苗需求 创新促二类疫苗发展,广证恒生,姬浩,谨慎推荐,2015-11-01
13,电力：光热示范项目申报火热 荐4股,华泰证券,弓永峰 何昕 ,增持,2015-11-01
14,公用事业：多数标的盈利大增 荐4股,华泰证券,弓永峰 程鹏 ,增持,2015-11-01
15,建材：北部将入需求淡季 荐12股,光大证券,陈浩武,买入,2015-11-01
16,有色金属：金属价格反弹短期缺乏基础 持续看好新能源汽车＋军工,长江证券,葛军,看好,2015-11-01
17,机械制造：继续关注工业4.0主题 荐9股,东吴证券,陈显帆 黄海方 ,无,2015-11-01
18,日常消费品：布局O2O 共建酒业生态圈,华泰证券,苏青青,增持,2015-11-01
19,有色金属：有锂有节 控制仓位,方正证券,杨诚笑 孙亮 ,推荐,2015-11-01
20,工业综合：关注成长股及国企改革 荐14股,银河证券,周松,推荐,2015-11-01
21,公用事业：中国迎来最严格环保制度 荐3股,光大证券,陈俊鹏 郑小波 ,买入,2015-11-01
22,金融：业绩弹性有望逐渐释放 荐4股,方正证券,林喜鹏,推荐,2015-11-01
23,汽车：坚定推荐汽车新经济 荐5股,华泰证券,谢志才 冯冲 姚宏光 ,增持,2015-11-01
24,旅游酒店：凯撒旅游与MSC地中海邮轮达成顶级战略合作,银河证券,周颖,推荐,2015-11-01
25,钢铁：长材微涨矿石和取向价格深跌 荐7股,光大证券,王招华,增持,2015-11-01
26,煤炭石油：关注国改转型类标的 荐3股,长江证券,董辰,看好,2015-11-01
27,钢铁：转型是征途 荐8股,长江证券,刘元瑞 王鹤涛 ,中性,2015-11-01
28,医疗保健：2015年三季报业绩总结,国金证券,李敬雷 彭婷 ,增持,2015-11-01
29,交通运输：港口疲弱利润萎缩 荐6股,长江证券,韩轶超,中性,2015-11-01
30,半导体、电子设备：消费电子出货量增速继续走低 荐3股,东兴证券,张济,看好,2015-11-01
31,半导体、电子设备：短期存调整压力 荐5股,银河证券,王莉,推荐,2015-11-01
32,汽车：十三五规划呼之欲出 荐8股,光大证券,刘洋,买入,2015-11-01
33,半导体、电子设备：板块上周表现出色 荐5股,平安证券,刘舜逢,中性,2015-11-01
34,旅游酒店：二胎新政利好迪士尼 荐6股,民生证券,陈柏儒,推荐,2015-11-01
35,汽车：利好依然不断 荐5股,长江证券,徐春,看好,2015-11-01
36,汽车：继续看好新能源汽车及锂电池板块 荐8股,东吴证券,陈显帆,无,2015-11-01
37,医疗保健：关注二孩概念与健康中国 荐5股,东兴证券,刘阳 杨若木 ,看好,2015-11-01
38,医疗保健：二胎全面放开 妇幼保健医药股受益,广证恒生,赵巧敏,无,2015-11-01
39,金融：关注不良拐点趋势 荐4股,平安证券,励雅敏 黄耀锋 ,强于大市,2015-11-01
40,服装纺织：主营增速平稳 荐5股,长江证券,雷玉,看好,2015-11-01
41,造纸印刷包装：二胎政策仅为短期催化 荐8股,长江证券,徐春,看好,2015-11-01
42,有色金属：锂价加速上涨 拥优质矿者得天下,国金证券,姚遥 张帅 ,增持,2015-11-01
43,信息科技：重点关注信息安全与教育领域投资机会 荐7股,华泰证券,高宏博 郭雅丽 ,中性,2015-11-01
44,地产：银十楼市完美收官 荐4股,长江证券,刘俊,看好,2015-11-01
45,媒体：本周行情震荡 荐11股,广证恒生,张磊,谨慎推荐,2015-11-01
46,有色金属：蓄势待发,国金证券,陈炳辉,增持,2015-11-01
47,有色金属：锂价上涨 荐2股,广发证券,巨国贤 宋小庆 陈子坤 ,买入,2015-11-01
48,金融：全年稳增长无忧 荐3股,长江证券,刘俊 周晶晶 ,看好,2015-10-31
49,化工：美国原油库存下降 上周油价大幅反弹,银河证券,王强,无,2015-10-31
50,医疗保健：普遍二孩政策落地,长城证券,朱政,推荐,2015-10-31
51,交通运输：散运阴跌乍暖还寒 集运骤升久旱甘霖,长江证券,韩轶超,中性,2015-10-31
52,汽车：国内碳酸锂报价大幅上调 荐9股,国联证券,皮斌,优异,2015-10-31
53,金融：息差和中收好于预 荐5股,国金证券,马鲲鹏,增持,2015-10-31
54,公用事业：关注行业新逻辑下的成长 荐14股,长江证券,童飞,看好,2015-10-31
55,信息科技：把握阶段性主题机会 荐6股,方正证券,段迎晟,推荐,2015-10-31
56,医疗保健：单季增速有所分化 政策双刃效应明显,长城证券,朱政,推荐,2015-10-31
57,汽车：北京新能源车限制摇号取消 利好行业发展,广证恒生,姬浩,谨慎推荐,2015-10-31
58,电力：中恒电气成最大赢家 荐5股,国金证券,姚罡 张帅 ,增持,2015-10-31
59,医疗保健：二胎政策全面放开 儿童健康成投资风口,广证恒生,姬浩,谨慎推荐,2015-10-31
