,0,1,2,3,4
0,康美药业：保障长远发展 买入评级,长江证券,刘舒畅 黄伟轩 ,买入,2016-03-09
1,粤电力A：集团公司丰厚资产储备保障后续业绩增长 买入评级 ,长江证券,童飞,买入,2016-03-09
2,龙泉股份：静待反转来临 买入评级,华泰证券,弓永峰 鲍荣富 何昕 ,买入,2016-03-09
3,南钢股份：无论是战略投资还是财务投资都是笔好投资 增持评级 ,安信证券,衡昆,增持,2016-03-09
4,洽洽食品：16年继续大力发展电商 增持评级,申万宏源,吕昌,增持,2016-03-09
5,凤凰光学：有望成为中国电科光学业务平台 推荐评级,银河证券,鞠厚林 傅楚雄 李良 ,推荐,2016-03-09
6,平安银行：拨备力度加大 买入评级,长江证券,蒲东君,买入,2016-03-09
7,华策影视：白马股绽放 强烈推荐评级,平安证券,林娟,强烈推荐,2016-03-09
8,东兴证券：净利润增长96% 股东背景带来广阔业务空间,中银国际,魏涛 郭晓露 ,无,2016-03-09
9,远方光电：打造平台级检测识别服务商 买入评级,华泰证券,张�J,买入,2016-03-09
10,东兴证券：协同打造竞争力 增持评级,中信建投,杨荣,增持,2016-03-09
11,海默科技：新型独立能源公司如虎添翼 推荐评级,国联证券,马松,推荐,2016-03-09
12,鸿利光电：车联网布局空间大 买入评级,东北证券,王建伟 邹兰兰 ,买入,2016-03-09
13,江南水务：国企改革动力足 买入评级,广发证券,郭鹏 陈子坤 沈涛 ,买入,2016-03-09
14,京运通：环保助力 买入评级,太平洋证券,张学,买入,2016-03-09
15,洽洽食品：有望成为业绩增长新亮点 增持评级,国海证券,余春生,增持,2016-03-09
16,万华化学：15年净利降33% 买入评级,群益证券,高观朋,买入,2016-03-09
17,益丰药房：门店扩张目标明确 谨慎增持评级,上海证券,魏�S,谨慎增持,2016-03-09
18,依米康：转型进入收获期 买入评级,中信建投,王�t佳 李俊松 万炜 ,买入,2016-03-09
19,湘潭电化：定增完成开启新成长 强烈推荐评级,方正证券,徐闯,强烈推荐,2016-03-09
20,海南海药：大股东高比例认购 买入评级,西南证券,朱国广 何治力 施跃 ,买入,2016-03-09
21,宝通科技：看好公司转型发展 增持评级,申万宏源,施妍,增持,2016-03-09
22,深天马A：引领未来显示 推荐评级,银河证券,王莉,推荐,2016-03-09
23,国旅联合：户外体育+文化娱乐双方向组合拳频出 推荐评级,方正证券,李蕤宏,推荐,2016-03-09
24,雪迪龙：内生+外延并举加固公司龙头地位 买入评级,光大证券,陈俊鹏,买入,2016-03-09
25,京运通：打响转型升级第一枪 买入评级,广发证券,陈子坤 韩玲 王昊 ,买入,2016-03-09
26,哈尔斯：进一步分享迪斯尼红利 增持评级,光大证券,姜浩,增持,2016-03-09
27,翰宇药业：卡贝缩宫素获批助力公司成长 增持评级,国信证券,江维娜,增持,2016-03-09
28,丽珠集团：坚定看好公司发展 推荐评级,银河证券,李平祝,推荐,2016-03-09
29,奥维云网：进军金融大数据领域 买入评级,安信证券,诸海滨,买入,2016-03-09
30,兴蓉环境：关注项目进展和H股推进 谨慎增持评级,上海证券,冀丽俊,谨慎增持,2016-03-09
