,0,1,2,3,4
0,日常消费品：乳品供需有望改善 荐4股,广发证券,王永锋 卢文琳 ,买入,2016-11-15
1,半导体、电子设备：英特尔云智汇联手 推动富士康武汉工厂智能转型,莫尼塔,曹尚舟 钟正生 ,无,2016-11-15
2,建材：水泥股建议继续关注短期博弈 荐9股,中信建投,王愫,增持,2016-11-15
3,化工：寻找受益方向 荐7股,渤海证券,齐艳莉,看好,2016-11-15
4,交通运输：外需稍有改善 总量增速走高,长江证券,韩轶超,中性,2016-11-15
5,服装纺织：不乏老树开新花 荐3股,国联证券,朱乐婷,优异,2016-11-15
6,信息科技：中国云计算SaaS移动办公平台年度综合报告2016发布 荐2股,国元证券,李芬,推荐,2016-11-15
7,日常消费品：猪价中短期皆看涨 荐5股,长江证券,陈佳,看好,2016-11-15
8,公用事业：近三年投资有望迅速增加 荐6股,平安证券,余兵,强于大市,2016-11-14
9,工业综合：逐渐增加军工配置 荐6股,申万宏源,薄娉婷,看好,2016-11-14
10,服装纺织：10月50家重点企业服装类零售额同比增6.4%,光大证券,李婕,无,2016-11-14
11,机械制造：曲面玻璃投资高峰期即将到来 荐4股,国金证券,沈伟杰 潘贻立 ,买入,2016-11-14
12,化工：天然橡胶价格大幅上涨 荐5股,中信建投,罗婷,增持,2016-11-14
13,电气设备：补贴政策或于本月内出台 荐5股,华金证券,谭志勇,无,2016-11-14
14,建材：2016年1-10月建材行业需求端数据点评 荐5股,光大证券,陈浩武,买入,2016-11-14
15,煤炭石油：环渤海动力煤指数出现回落 荐4股,光大证券,唐宗辰,增持,2016-11-14
16,工业综合：预期和实际两重天 荐4股,东兴证券,赵军胜,看好,2016-11-14
17,造纸印刷包装：主要家居公司双11数据火热出炉 荐12股,申万宏源,周海晨 屠亦婷 范张翔 ,看好,2016-11-14
18,商业零售：线下零售平稳 荐7股,国金证券,徐问,增持,2016-11-14
19,医疗保健：盘面与政策趋暖 荐12股,平安证券,叶寅 魏巍 ,强于大市,2016-11-14
20,医疗保健：国家卫计委等6部委联合发布《医药工业发展规划指南》 荐2股,山西证券,张旭,无,2016-11-14
21,工业综合：上周军工板块上涨1.13% 跑输沪深300指数,华融证券,张迪,看好,2016-11-14
22,建材：向好具备持续性,广发证券,邹戈 谢璐 ,无,2016-11-14
23,商业零售：推荐布局安全边际高且股价倒挂的险资举牌个股 荐3股,申万宏源,王俊杰,看好,2016-11-14
24,信息科技：网络安全板块投资价值凸显 荐4股,联讯证券,王凤华,增持,2016-11-14
25,半导体、电子设备：AI与智能驾驶时代即将到来 荐3股,长城证券,赵成,无,2016-11-14
26,电气设备：看好风电行业发展和乘用车电气化趋势 荐19股,广发证券,陈子坤 王理廷 ,买入,2016-11-14
27,地产：成交持续降温 荐12股,中银国际,卢骁峰,中立,2016-11-14
28,造纸印刷包装：O2O模式前景看好 荐11股,国金证券,揭力,增持,2016-11-14
29,医疗保健：海外医药月报,广发证券,贺菊颖,无,2016-11-14
30,农药化肥：复合肥行业有望回暖 荐4股,申万宏源,马昕晔 宋涛 ,看好,2016-11-14
31,化工：橡胶大幅上涨 荐7股,东兴证券,梁博 杨行远 廖鹏飞 ,中性,2016-11-14
32,金融：货政报告注重抑制资产泡沫 荐6股,平安证券,励雅敏,强于大市,2016-11-14
33,化工：推荐华鲁恒升 荐16股,长城证券,余���� 顾锐 ,推荐,2016-11-14
34,家用电器：推荐或受益黑电竞争格局变化的海信电器 荐3股,申万宏源,刘迟到 周海晨 ,看好,2016-11-14
35,有色金属：骑稳有色商品牛 荐5股,国金证券,贺国文,买入,2016-11-14
36,建材：关注基建投资预期 荐4股,申万宏源,孟烨勇,看好,2016-11-14
37,信息科技：预计短期仍将维持震荡 荐5股,渤海证券,王洪磊,看好,2016-11-14
38,信息科技：第三届世界互联网大会倒计时 荐6股,中信建投,武超则 崔晨 于海宁 ,增持,2016-11-14
39,化工：化工品市场整体向好 荐5股,渤海证券,张敬华,看好,2016-11-14
40,医疗保健：医改经验推广意见发布 荐6股,太平洋证券,程晓东,看好,2016-11-14
