,0,1,2,3,4
0,康得新：光学膜项目进展超预期,中投证券,张镭,强烈推荐,2011-08-28
1,瑞泰科技：水泥窑用耐材业绩贡献增至4 成 继续扩张需解决长期资金,中投证券,李凡 王海青 ,推荐,2011-08-28
2,河北钢铁：费用增营业利润降 净利润持平源于所得税下降,长江证券,刘元瑞,谨慎推荐,2011-08-28
3,东华科技：传统业务惊喜 战略转型给力,宏源证券,周蓉姿,买入,2011-08-28
4,华业地产：销售看下半年 矿业仍不确定,中邮证券,邵明慧,无,2011-08-28
5,兴业证券：受益于双轮增长,安信证券,杨建海,中性,2011-08-28
6,中国国旅：中国国旅--主业稳步增长 免税板块势头强劲,第一创业,任文杰,买入,2011-08-28
7,雅克科技：三季度新产能投放有望带动下半年业绩好转,东兴证券,杨若木,推荐,2011-08-28
8,科伦药业：规模与创新并举的输液龙头企业,湘财证券,陈国栋,增持,2011-08-28
9,华发股份：内外兼修 稳健增长,齐鲁证券,丁晨 周涛 ,推荐,2011-08-28
10,亚星化学：业绩低于预期 公司仍有看点,齐鲁证券,李璇,推荐,2011-08-28
11,海亮股份：国内海水淡化有望迎转机,方正证券,邓新荣,增持,2011-08-28
12,王府井：定增方案尘埃落定 毛利率管理效果初显,长江证券,童兰,推荐,2011-08-28
13,齐翔腾达：利润同比大增 后市仍有看点,宏源证券,康铁牛 祖广平 张延明 ,买入,2011-08-28
14,大冶特钢：特钢行业的富二代,中投证券,初学良 韩小静 ,强烈推荐,2011-08-28
15,恒生电子：业绩略超预期 下半年值得期待,中投证券,崔莹,强烈推荐,2011-08-28
16,双鹤药业：零号报喜 输液内分泌报忧,民生证券,李平祝 练乐尧 ,强烈推荐,2011-08-28
17,爱尔眼科：新建两家医院 完善两湖布局,民生证券,李平祝  练乐尧 ,强烈推荐,2011-08-28
18,永鼎股份：传统业务低于预期 静待超导速度,联合证券,姚宏光,增持,2011-08-28
19,天虹商场：现有门店增长稳健 储备门店保障长期发展,民生证券,田慧蓝,强烈推荐,2011-08-28
20,南方航空：国内航线与汇兑贡献大部分利润,宏源证券,庞琳琳,增持,2011-08-28
21,格力地产：股东支持力度一如既往,中邮证券,邵明慧,无,2011-08-28
22,保利地产：风华正茂,长江证券,苏雪晶,推荐,2011-08-28
23,丽鹏股份：瑕不掩瑜 关注高成长性,光大证券,石磊,买入,2011-08-28
24,保利地产：业绩增长好 调控中稳步前进,东兴证券,郑闵钢,推荐,2011-08-28
25,中国太保：产险利润贡献呈现跨越式增长 高增长态势有望持续,银河证券,叶云燕,推荐,2011-08-28
26,爱尔眼科：新建永州宜昌两个三级医院 湖南湖北布局再下两城,中投证券,周锐 余文心 ,强烈推荐,2011-08-28
27,海通证券：直投和海外业务发展迅速,宏源证券,黄立军,买入,2011-08-28
28,中国银行：结构优化逐步见效,安信证券,杨建海,增持,2011-08-28
29,中国国旅：三亚免税店经营情况好于预期 仍位于强力买入名单,高华证券,廖绪发  刘智景 ,买入,2011-08-28
30,沈阳化工：产品价格回暖,安信证券,刘军  谭志勇 ,买入,2011-08-27
31,正泰电器：收入高增长 毛利率下滑,宏源证券,王静 赵曦 ,增持,2011-08-27
32,九阳股份：豆浆机市场下滑拖累公司业绩,光大证券,周励谦,中性,2011-08-27
33,九阳股份：业绩低于预期 估值合理,宏源证券,张泽京,增持,2011-08-27
34,正泰电器：毛利率下滑明显 下半年或有改善,广发证券,韩玲,买入,2011-08-27
35,千金药业：妇科龙头大有可为 营销改革增添助力,东海证券,屈�i,增持,2011-08-27
36,报喜鸟：外延扩展毛利率提升双轮驱动业绩增长,光大证券,李婕,买入,2011-08-27
37,正泰电器：低压电器市场龙头 向高端市场进军,山西证券,梁玉梅,增持,2011-08-27
38,广百股份：业绩好于预期 增速逐季回升,东北证券,罗旷怡,谨慎推荐,2011-08-27
39,华峰氨纶：氨纶价格趋于平稳,宏源证券,张延明  祖广平 ,持有,2011-08-27
40,沈阳化工：产品价格回暖,安信证券,刘军  谭志勇 ,买入,2011-08-27
41,浙江众成：毛利率提升 期间费用率大幅降低 带动业绩高成长,光大证券,李婕,增持,2011-08-27
42,广百股份：业绩好于预期 增速逐季回升,东北证券,罗旷怡,谨慎推荐,2011-08-27
43,金风科技：毛利率大幅下滑 今年或是业绩低谷,中邮证券,王博涛,无,2011-08-27
44,华峰氨纶：氨纶价格趋于平稳,宏源证券,张延明  祖广平 ,持有,2011-08-27
45,九阳股份：业绩低于预期 估值合理,宏源证券,张泽京,增持,2011-08-27
46,亚厦股份：渠道建设顺畅 订单大幅增长,中邮证券,邵明慧,无,2011-08-26
47,八一钢铁：2季度收入增长毛利率改善 净利润环比大幅增加,长江证券,刘元瑞,推荐,2011-08-26
48,农业银行：存款优势彰显 中间业务继续高速增长,华鑫证券,刘志平,增持,2011-08-26
49,工商银行：融资平台贷款占比偏高,中银国际,孙鹏 袁琳 ,无,2011-08-26
50,天威保变：业绩低于预期,中原证券,潘杭钧,观望,2011-08-26
51,沈阳化工：业绩符合预期 期待技改提升业绩,银河证券,裘孝锋 王强 ,推荐,2011-08-26
52,潜能恒信：业绩符合预期,东北证券,王伟纲,谨慎推荐,2011-08-26
53,南方航空：高票价覆盖高油价 业外收入增厚净利,第一创业,郭强,谨慎买入,2011-08-26
54,中国化学：施工力量再添新丁 进入下游行业切入点良好,民生证券,王小勇,强烈推荐,2011-08-26
55,大北农：饲料放量在即 种子新品种步入快速推广期,长江证券,乔洋,推荐,2011-08-26
56,风帆股份：业绩符合预期 三季报检验整合预期,中投证券,张镭,推荐,2011-08-26
57,南方航空：航空主营业务税前利润创出历史新高,联合证券,李军,增持,2011-08-26
58,金通灵：产能瓶颈逐步打破 全年业绩可期,湘财证券,朱程辉,买入,2011-08-26
59,华域汽车：销售毛利率不降反升,东北证券,刘立喜,推荐,2011-08-26
60,招商轮船：定向增发有利长远扩张 但摊薄明显,瑞银证券,徐 宾 ,中性,2011-08-26
61,华域汽车：业绩稳定增长 与集团合作深化,安信证券,汪刘胜,无,2011-08-26
62,南京银行：债市低迷拖累业绩 吸存能力优异,上海证券,郭敏,跑赢大市,2011-08-26
63,中国国航：业绩低于预期 估值底部 看好公司未来发展,长江证券,吴云英,推荐,2011-08-26
64,南方航空：运输和汇兑收益拉动盈利大幅增长,广发证券,董丁,买入,2011-08-26
65,中国一重：黎明前的黑暗,中银国际,史祺,买入,2011-08-26
66,鸿路钢构：结构优化产能扩张,民族证券,徐永超,推荐,2011-08-26
67,老凤祥：龙头业绩高增长,宏源证券,陈旭,买入,2011-08-26
68,中金岭南：矿山产能稳步扩张,安信证券,衡昆,增持,2011-08-26
69,天源迪科：费用增长得到控制预计下半年业绩将改善,渤海证券,崔健,买入,2011-08-26
70,太钢不锈：期待矿山产能加速投放,齐鲁证券,笃慧 周涛 ,推荐,2011-08-26
71,江西铜业：未来2 年是公司矿山产能释放期,长江证券,葛军,推荐,2011-08-26
72,中金黄金：金价持续上涨 业绩不断突破,宏源证券,闵丹 刘�� ,增持,2011-08-26
73,中国联通：业绩增长超预期 3G业务开始发力,东莞证券,刘卓平,谨慎推荐,2011-08-26
74,老凤祥：业绩超预期 并表因素贡献较多利润,光大证券,唐佳睿,买入,2011-08-26
75,荃银高科：2011年半年报点评,长江证券,乔洋,谨慎推荐,2011-08-26
76,烽火通信：募投项目助力公司业绩持续增长,国都证券,姜瑛,推荐,2011-08-26
77,东风汽车：康明斯业绩低于预期 关注其未来的发展潜力,广发证券,杨华超  汤俊 ,持有,2011-08-26
78,鲁泰A：稳健经营的色织面料龙头,上海证券,张凤展,跑赢大市,2011-08-26
79,南方航空：业绩略超预期 看好下半年旺季行情与未来国际业务,长江证券,吴云英,推荐,2011-08-26
80,博深工具：业绩低于预期 下半年有望改善,方正证券,张远德,增持,2011-08-26
81,工商银行：成本优势将逐渐显现,宏源证券,张继袖,无,2011-08-26
82,鲁抗医药：静待政策趋缓,齐鲁证券,胡德军 谢刚 ,中性,2011-08-26
83,中国国航：运输利润稳健增长 投资和套保收益拉低业绩,广发证券,董丁,买入,2011-08-26
84,南方泵业：布局未来 稳健成长,国联证券,赵心,推荐,2011-08-26
85,江西铜业：量价提升 助推业绩,光大证券,汪前明,买入,2011-08-26
86,豪迈科技：业绩稳健增长 出口大幅上升,广发证券,黎韦清,无,2011-08-26
87,国金证券：上半年证券投资收益增长是亮点,中信建投,魏涛,增持,2011-08-26
88,华域汽车：业绩稳健增长 估值严重低估,光大证券,于特,买入,2011-08-26
89,铁龙物流：特种集装箱业务进入加速发展期,平安证券,储海,推荐,2011-08-26
90,回天胶业：毛利将回复 期待聚氨酯胶的放量,日信证券,赵越,买入,2011-08-26
91,中国国航：国际业务及货运低迷 净利下降一成,东北证券,许祥,谨慎推荐,2011-08-26
92,驰宏锌锗：产能低点弱化整体盈利能力,宏源证券,闵丹 刘�� ,买入,2011-08-26
93,嘉麟杰：原材料成本上涨侵蚀毛利率 人工成本上升增加费用支出,广发证券,马涛,买入,2011-08-26
94,银江股份：智能交通收入确认较少 下半年空间可观,民生证券,尹沿技 卢婷 ,强烈推荐,2011-08-26
95,韶钢松山：毛利率下降收入增加 净利润增加源于费用下降,长江证券,刘元瑞,谨慎推荐,2011-08-26
96,工商银行：稳健增长 买入评级,光大证券,沈维,买入,2011-08-26
97,中国国航：成长的烦恼还在延续,国信证券,陈建生,谨慎推荐,2011-08-26
98,万邦达：财务费用减少促业绩增长 等待下半年业绩释,长江证券,刘元瑞,谨慎推荐,2011-08-26
99,光电股份：盈利受所得税率调整影响大 看好主营产品后期表现,方正证券,张远德,无,2011-08-26
100,太钢不锈：2季度销量增加毛利率下降 净利润环比略有下滑,长江证券,刘元瑞,谨慎推荐,2011-08-26
101,北京利尔：成本上升致毛利率下滑,国信证券,郑东  秦波 ,谨慎推荐,2011-08-26
102,南方航空：票价提升主导业绩增长,平安证券,储海,强烈推荐,2011-08-26
103,招商轮船：客户转为战略投资者 公司迎来上市以来最大发展契机,广发证券,杨志清,买入,2011-08-26
104,中国联通：二季度业绩大幅增长 3G将开始盈利,湘财证券,刘飞烨,增持,2011-08-26
105,八一钢铁：业绩符合预期 买入时机到来,广发证券,冯刚勇,买入,2011-08-26
106,中国石油：业绩低于预期,东北证券,王伟纲,推荐,2011-08-26
107,众和股份：毛利率大幅下滑 业绩略低于预期,长江证券,雷玉,谨慎推荐,2011-08-26
108,金通灵：业绩符合预期 进入快速成长期,东北证券,周思立,谨慎推荐,2011-08-26
109,华域汽车：优质客户与规模效应确保公司稳定增长,长江证券,张乐,推荐,2011-08-26
110,壹桥苗业：未来价值在海参养殖,中邮证券,冉伶俐,中性,2011-08-26
111,中南传媒：稳定出版业务 发力报媒业务,西南证券,马凤桃,增持,2011-08-26
112,中国国旅：三亚免税盈利超预期 业绩增长超四成,民生证券,李振飞,强烈推荐,2011-08-26
113,冠城大通：海西规划增添投资亮点,中银国际,田世欣,买入,2011-08-26
114,华域汽车：销售毛利率不降反升,东北证券,刘立喜,推荐,2011-08-26
115,三元达：受益WiFi 建设 主营业务增长迅速,光大证券,周励谦,增持,2011-08-26
116,特尔佳：成本上涨导致利润微降 业绩略低于预期,瑞银证券,陈 国喜 ,买入,2011-08-26
117,长信科技：ITO产销良好 成本压力显现,中邮证券,何阳阳,无,2011-08-26
118,南方航空：主业及汇兑收益贡献历史同期最好业绩,安信证券,吴莉,买入,2011-08-26
119,三元达：WLAN 业务给力 收入增长同时毛利率大幅提升,中投证券,王鹏 王大鹏 ,强烈推荐,2011-08-26
120,银江股份：智慧城市与智慧医疗业务高增长,安信证券,侯利 胡又文 ,买入,2011-08-26
121,同洲电子：厚积薄发 拐点初现 一体机助力公司高速发展,方正证券,盛劲松,买入,2011-08-26
122,工商银行：信贷结构和收入结构继续优化,民族证券,张景,推荐,2011-08-26
123,中金黄金：效益规模正在显现 金价对业绩贡献度增大,民族证券,关健鑫,推荐,2011-08-26
124,中国国航：上半年净利润同比下降13.44%,中银国际,杜建平,买入,2011-08-26
